municipality_code,total_poi_tourist,total_monuments_historiques,total_musees_galeries,total_plages,total_parcs_naturels,total_attractions_modernes,total_sites_randonnee,total_quartiers_culturels
67302,1,0,0,0,0,0,1,0
33197,1,0,0,0,0,0,1,0
11292,1,0,0,0,0,0,1,0
31045,1,0,0,0,0,1,0,0
61243,1,0,0,0,0,0,0,0
79226,1,0,0,0,0,0,0,0
79001,1,0,0,0,0,0,0,0
01011,1,0,0,0,0,0,0,0
38224,1,0,0,0,0,0,0,0
55302,1,0,0,0,0,0,0,0
57125,1,0,0,0,0,0,0,0
86139,1,0,0,0,0,0,0,0
57114,1,0,0,0,0,0,0,0
76562,1,0,0,0,0,0,0,0
37008,1,0,0,0,0,0,0,0
76458,1,0,0,0,0,0,0,0
22194,1,0,0,0,0,0,0,0
71130,1,0,0,0,0,0,0,0
76513,1,0,0,0,0,0,0,0
70420,1,0,0,0,0,0,0,0
72126,1,0,0,0,0,0,0,0
39485,1,0,0,0,0,0,0,0
50575,1,0,0,0,0,0,0,0
57745,1,0,0,0,0,0,0,0
49038,1,0,0,0,0,0,0,0
91600,1,0,0,0,0,0,0,0
01074,1,0,0,0,0,0,0,0
65182,1,0,0,0,0,0,0,0
2B086,1,0,0,0,0,0,0,1
45268,1,0,0,0,1,0,0,0
81276,1,0,1,0,0,0,0,0
07168,1,0,1,0,0,0,0,0
45324,1,0,1,0,0,0,0,0
57256,1,0,1,0,0,0,0,0
40142,1,0,1,0,0,0,0,0
08329,1,0,1,0,0,0,0,0
12104,1,0,1,0,0,0,0,0
07138,1,0,1,0,0,0,0,0
46299,1,0,1,0,0,0,0,0
54391,1,0,1,0,0,0,0,0
80584,1,0,1,0,0,0,0,0
07171,1,0,1,0,0,0,0,0
51367,1,0,1,0,0,0,0,0
12085,1,0,1,0,0,0,0,0
15119,1,0,1,0,0,0,0,0
94021,1,0,1,0,0,0,0,0
59544,1,0,1,0,0,0,0,0
51662,1,0,1,0,0,0,0,0
56101,1,0,1,0,0,0,0,0
77514,1,0,1,0,0,0,0,0
94069,1,0,1,0,0,0,0,0
17146,1,0,0,0,1,0,0,0
66081,1,0,0,0,1,0,0,0
35283,1,0,0,0,1,0,0,0
66191,1,0,0,0,1,0,0,0
55061,1,0,0,0,0,0,0,0
48003,1,0,0,0,0,1,0,0
76105,1,0,0,0,0,1,0,0
65211,1,0,0,0,0,1,0,0
17409,1,0,0,0,0,1,0,0
56117,1,0,0,0,0,1,0,0
94075,1,0,0,0,0,1,0,0
02150,1,0,0,0,0,1,0,0
18157,1,0,0,0,1,0,0,0
63385,1,0,0,0,1,0,0,0
63319,1,0,0,0,1,0,0,0
15008,1,0,0,0,1,0,0,0
66043,1,0,0,0,0,1,0,0
08199,1,0,0,0,0,1,0,0
61056,1,0,0,0,0,1,0,0
60422,1,0,0,1,0,0,0,0
13062,1,0,0,0,0,0,1,0
46041,1,0,0,0,0,0,1,0
74073,1,0,0,0,0,0,1,0
78437,1,0,0,0,0,0,1,0
81132,1,0,0,0,0,0,1,0
86129,1,0,0,0,0,0,1,0
31066,1,0,0,0,0,0,1,0
62691,1,0,0,0,0,0,1,0
38206,1,0,0,0,0,0,1,0
02215,1,0,0,0,0,0,1,0
59247,1,0,0,0,0,0,1,0
86012,1,0,0,0,0,0,1,0
22069,1,0,0,0,0,0,1,0
39290,1,0,0,0,0,0,1,0
88089,1,0,0,0,0,0,1,0
81049,1,0,0,0,0,0,1,0
38207,1,0,0,0,0,0,1,0
39245,1,0,0,0,0,0,1,0
25315,1,0,0,0,0,0,1,0
78005,1,0,0,0,0,1,0,0
46225,1,0,0,0,0,1,0,0
31022,1,0,0,0,0,1,0,0
88013,1,0,0,0,0,0,0,0
29089,1,0,0,0,0,0,0,0
55397,1,0,0,0,0,0,0,0
74162,1,0,0,0,0,0,0,0
17053,1,0,0,0,0,0,0,0
89390,1,0,0,0,0,0,0,0
39010,1,0,0,0,0,0,0,0
28393,1,0,0,0,0,0,0,0
39582,1,0,0,0,0,0,0,0
89353,1,0,0,0,0,0,0,0
57550,1,0,0,0,0,0,0,0
16085,1,0,0,0,0,0,0,0
54375,1,0,0,0,0,0,0,0
03225,1,0,0,0,0,0,0,0
06068,1,0,0,0,0,0,0,0
59144,1,0,0,0,1,0,0,0
12255,1,0,1,0,0,0,0,0
07212,1,0,1,0,0,0,0,0
51078,1,0,1,0,0,0,0,0
14177,1,0,1,0,0,0,0,0
02174,1,0,1,0,0,0,0,0
12219,1,0,1,0,0,0,0,0
10103,1,0,1,0,0,0,0,0
71289,1,0,1,0,0,0,0,0
66068,1,0,1,0,0,0,0,0
40286,1,0,1,0,0,0,0,0
27056,1,0,1,0,0,0,0,0
68210,1,0,1,0,0,0,0,0
46297,1,0,1,0,0,0,0,0
69044,1,0,1,0,0,0,0,0
30002,1,0,1,0,0,0,0,0
10396,1,0,0,0,0,0,1,0
37041,1,0,1,0,0,0,0,0
95063,1,0,1,0,0,0,0,0
57176,1,0,1,0,0,0,0,0
06048,1,0,1,0,0,0,0,0
92009,1,0,1,0,0,0,0,0
03282,1,0,0,0,1,0,0,0
38504,1,0,0,0,1,0,0,0
72260,1,0,0,0,0,1,0,0
61466,1,0,0,0,0,1,0,0
14068,1,0,0,0,0,1,0,0
09239,1,0,0,0,1,0,0,0
07289,1,0,0,0,1,0,0,0
59534,1,0,0,0,1,0,0,0
08486,1,0,0,0,1,0,0,0
2A197,1,0,0,0,1,0,0,0
05163,1,0,0,0,0,1,0,0
35156,1,0,0,0,1,0,0,0
31056,1,0,0,0,1,0,0,0
2B170,1,0,0,1,0,0,0,0
39184,1,0,0,0,0,0,1,0
56239,1,0,0,0,0,0,1,0
24286,1,0,0,0,0,0,1,0
21164,1,0,0,0,0,0,1,0
83133,1,0,0,0,0,0,1,0
60431,1,0,0,0,0,0,1,0
65099,1,0,0,0,0,0,1,0
58157,1,0,0,0,0,0,1,0
59514,1,0,0,0,0,0,1,0
40062,1,0,0,0,0,0,1,0
70071,1,0,0,0,0,0,1,0
86130,1,0,0,0,0,0,1,0
25345,1,0,0,0,0,0,1,0
40001,1,0,0,0,0,0,1,0
49343,1,0,0,0,0,0,1,0
71238,1,0,0,0,0,0,1,0
31202,1,0,0,0,0,0,1,0
82025,1,0,0,0,0,1,0,0
64256,1,0,0,0,0,1,0,0
68300,1,0,0,0,0,0,0,0
36066,1,0,0,0,0,0,0,0
60234,1,0,0,0,0,0,0,0
28052,1,0,0,0,0,0,0,0
18184,1,0,0,0,0,0,0,0
71219,1,0,0,0,0,0,0,0
57239,1,0,0,0,0,0,0,0
57659,1,0,0,0,0,0,0,0
55087,1,0,0,0,0,0,0,0
17408,1,0,0,0,0,0,0,0
60186,1,0,0,0,0,0,0,0
37088,1,0,0,0,0,0,0,0
59630,1,0,0,0,0,0,0,0
02079,1,0,0,0,0,0,0,0
88438,1,0,0,0,0,0,0,0
62236,1,0,0,0,0,0,0,0
55376,1,0,0,0,0,0,0,0
01108,1,0,0,0,0,0,0,0
21685,1,0,0,0,0,0,0,0
22373,1,0,0,0,0,0,0,0
59066,1,0,0,0,0,0,0,0
03007,1,0,0,0,0,0,0,0
65330,1,0,0,0,0,0,0,0
81115,1,0,1,0,0,0,0,0
77022,1,0,1,0,0,0,0,0
35149,1,0,1,0,0,0,0,0
2B042,1,0,1,0,0,0,0,0
30243,1,0,1,0,0,0,0,0
59099,1,0,1,0,0,0,0,0
